,0,1,0,1,0,1,0,1
0,google,0.07792091589798789,google,0.10488722301293633,home,0.05547958127115549,amazon,0.038664295659394415
1,home,0.03943240603168075,home,0.052691055430993027,google,0.04183595245987601,home,0.03781697117632007
2,echo,0.025522250498066824,echo,0.015400181671799247,echo,0.03913751671086121,google,0.03230403488582241
3,search,0.009156648478630888,list,0.008382230815481968,amazon,0.023441470349726698,item,0.01576773489794379
4,calendar,0.009153964601391248,learn,0.008210782817506928,house,0.01567761831493777,family,0.010881023288498494
5,alarm,0.008522187146789418,connect,0.0077967269966961,recommend,0.011085665347768822,app,0.010480040801931127
6,learn,0.007390864767873926,amazon,0.007437667770227796,listen,0.008225182285076163,quality,0.008154057785723716
7,quality,0.007326473403776814,purchase,0.0061846679070743935,command,0.008190799087342833,stuff,0.007768022933970074
8,family,0.007190749558815559,chromecast,0.005941549770714359,list,0.00787314407849084,house,0.007323888782947737
9,recommend,0.007057151424614773,tv,0.00497305112162108,different,0.007402213504570092,simple,0.007229192690271194
10,purchase,0.006964955129096084,news,0.004667872127237134,service,0.007240744757497616,information,0.007152929711621014
11,information,0.006697890966431145,room,0.00455407592871028,talk,0.006822803225113191,problem,0.007031848607599905
12,app,0.006361845421251785,calendar,0.004548726111725121,simple,0.006600390564520602,purchase,0.006954541437223174
13,update,0.006261896656060448,request,0.0044072963100637765,expect,0.006340003275712194,timer,0.0065761229206323215
14,list,0.005946869209752119,command,0.004399265516905068,search,0.005800739853251663,money,0.006521983619479145
15,apps,0.005351939018032991,control,0.0043696187247057715,news,0.00575927165337573,connect,0.005952369069484511
16,volume,0.005306592122289328,return,0.004347365312625703,information,0.005095711508508843,kid,0.005611605262212354
17,listen,0.005257295082255121,wait,0.004319679676421018,help,0.005082805946087929,order,0.005426210749259728
18,control,0.005159607258016051,pandora,0.004311644212285656,internet,0.004976497355252677,account,0.005205714132762737
19,assistant,0.004914614928842497,order,0.004148049677921905,connect,0.004861034059447415,whole,0.005079124114717206
20,try,0.004877912838200328,future,0.004133858443791577,youtube,0.004854131638489595,service,0.004949654798053346
21,wifi,0.0048705318152603,setup,0.003868714512637809,assistant,0.004799364977044041,change,0.004685434722499023
22,game,0.004768841269455511,life,0.0038648917254191506,tv,0.00456075692200888,news,0.004371108252691636
23,option,0.00472503548167898,android,0.003756961071476384,pandora,0.004366542599625796,request,0.004303351966038232
24,shop,0.004378996411029097,listen,0.003740095764596823,learn,0.004259876981987909,command,0.0042885813851846885
25,husband,0.00426760982661721,understand,0.0036989050136841113,feel,0.004230354887752538,expect,0.004287625000339446
26,functionality,0.004193324567650694,worth,0.0036271137906917395,room,0.004185982008840306,access,0.004284520197152145
27,joke,0.004041921944463897,youtube,0.0035941166552393242,change,0.004100138902020096,list,0.0042742916466699385
28,tv,0.004028324458301205,alarm,0.0035389994771702865,husband,0.0040482808183922685,assistant,0.004186728854131182
29,news,0.0039132950466453376,update,0.0034671613345101846,gadget,0.003920005589177685,youtube,0.0038105413170776985
